Title,DOI,relevance_score,is_data_available,is_model_used,is_dataset_public,dataset_link,citation_count,disease_focus,location_focus,keywords,models,discussion_recommendation
Public Health Surveillance with Incomplete Data - Spatio-Temporal Imputation for Inferring Infectious Disease Dynamics,10.1109/ICHI.2018.00036,,,,,,,,,,,
Modeling the transmission dynamics and control of rabies in China,10.1016/j.mbs.2017.02.005,8.0,,,no,not mentioned,39.0,rabies,China,"['rabies transmission', 'human mobility', 'SEIR model']","['SEIR model', 'multi-patch model', 'reaction diffusion equation model']","Yes, this paper should be included as it extensively analyzes the transmission dynamics of rabies through models that incorporate human and animal mobility within and across provinces in China, making it highly relevant to the study of the impact of human and animal mobility on infectious diseases."
Influenza as a model system for studying the cross-species transfer and evolution of the SARS coronavirus,10.1098/rstb.2004.1481,,,,,,,,,,,
Sleep and behavior during vesicular stomatitis virus induced encephalitis in BALB/cJ and C57BL/6J mice,10.1016/j.bbi.2013.09.006,2.0,,,no,not mentioned,5.0,vesicular stomatitis virus,not specified,"['vesicular stomatitis virus', 'sleep', 'encephalitis']",[],"No, this paper should not be included as it does not focus on human mobility and its impact on infectious diseases. It primarily investigates sleep changes due to VSV infection in mice, which is not directly relevant to the central themes of human mobility and infectious diseases. Furthermore, no specific models related to human mobility or broader infection modeling are discussed."
FROM WHENCE THEY CAME-ANTIBIOTIC-RESISTANT ESCHERICHIA COLI IN AFRICAN WILDLIFE,10.7589/2014-11-257,6.0,,,no,not provided,44.0,antimicrobial resistance,"Chobe, Botswana","['antimicrobial resistance', 'wildlife', 'transmission dynamics']",[],"No, this paper should not be included because it primarily focuses on antimicrobial resistance in wildlife and does not sufficiently address human mobility's direct relationship to infectious disease spread across the human population."
Extensive phage dynamics in Staphylococcus aureus contributes to adaptation to the human host during infection,10.1111/j.1365-2958.2006.05354.x,,,,,,,,,,,
Modeling the Impact of Agricultural Mitigation Measures on the Spread of Sharka Disease in Sweet Cherry Orchards,10.3390/plants12193442,4.0,,,no,not mentioned,4.0,Sharka (caused by Plum pox virus),global,"['Sharka disease', 'agricultural management', 'mathematical model']",['impulsive differential equations model'],"No, this paper should not be included in a discussion specific to human mobility and infectious diseases as it focuses primarily on agricultural management strategies and vector control within orchards, which does not align closely with human mobility themes."
Risk assessment of Ebola virus disease spreading in Uganda using a two-layer temporal network,10.1038/s41598-019-52501-1,9.0,,,no,not mentioned,8.0,Ebola virus disease,Uganda,"['Ebola virus disease', 'two-layer temporal network', 'risk assessment']","['Gillespie algorithm', 'SIR compartmental model']","Yes, this paper should be included as it specifically explores the spread of Ebola virus disease through a novel two-layer temporal network model in Uganda, providing valuable insights on human mobility's effect on infectious disease transmission."
Spatial heterogeneity and infection patterns on epidemic transmission disclosed by a combined contact-dependent dynamics and compartmental model,10.1371/journal.pone.0286558,9.0,,,no,not mentioned,2.0,COVID-19,global,"['epidemic transmission', 'compartmental models', 'contact-dependent dynamics']","['CDD model', 'SEIR model']","Yes, this paper should be included as it offers significant insights into the relationship between human mobility and the spread of COVID-19 using innovative modeling approaches."
"Behavioral Causes, Ecological Consequences, and Management Challenges Associated with Wildlife Foraging in Human-Modified Landscapes",10.1093/biosci/biaa129,2.0,,,no,not mentioned,31.0,not specified,global,"['human-wildlife conflict', 'urban foraging', 'crop foraging']",[],"No, this paper should not be included because it does not focus on human mobility and infectious diseases but rather on the ecological and behavioral aspects of wildlife in human-modified landscapes."
Utilizing disease surveillance to examine gene flow and dispersal in white-tailed deer,10.1111/j.1365-2664.2010.01868.x,6.0,,,no,not mentioned,27.0,chronic wasting disease,Illinois,"['gene flow', 'disease surveillance', 'white-tailed deer']","['spatial autocorrelation', 'parentage assignments']","No, this paper should not be included because it primarily focuses on wildlife disease surveillance and gene flow in deer rather than human mobility's impact on infectious diseases. While the topic is related to disease dispersal, the connection to human mobility is indirect."
Pathogen transmission risk by opportunistic gulls moving across human landscapes,10.1038/s41598-019-46326-1,8.0,,,no,not mentioned,33.0,"Salmonella, Campylobacter, Chlamydia",Southern Europe,"['pathogen transmission', 'zoonosis', 'GPS tracking']","['GPS tracking', 'molecular pathogen diagnosis']","Yes, this paper should be included because it provides in-depth insights on the impact of wildlife mobility on the transmission of zoonotic pathogens to human populations, which is highly relevant to the study of human mobility and infectious diseases."
Recurrent origin-destination network for exploration of human periodic collective dynamics,10.1111/tgis.12849,,,,,,,,,,,
"BSE and variant CJD: Emerging science, public pressure and the vagaries of policy-making",10.1016/j.prevetmed.2012.11.023,7.0,,,no,not mentioned,16.0,BSE and variant CJD,global,"['BSE', 'variant CJD', 'policy-making']",[],"No, this paper should not be included as it focuses on policy-making in the face of public pressure and disease management rather than directly on human mobility's impact on infectious disease transmission."
Impact of human interventions on the spread of bluetongue virus serotype 8 during the 2006 epidemic in North-Western Europe,10.1016/j.prevetmed.2008.06.010,,,,,,,,,,,
Global Perspective on Telemedicine for Parkinson's Disease,10.3233/JPD-202411,3.0,,,no,not mentioned,37.0,COVID-19,global,"['telemedicine', ""Parkinson's disease"", 'COVID-19']",[],"No, this paper should not be included as its primary focus is on telemedicine in the context of Parkinson's disease and does not directly address the core theme of human mobility's impact on infectious diseases. While it mentions COVID-19, this is secondary to its main topic of telemedicine."
Identified and unidentified challenges for reproductive biotechnologies regarding infectious diseases in animal and public health,10.1016/S0093-691X(01)00647-1,2.0,,,no,not mentioned,18.0,not specified,global,"['reproductive biotechnologies', 'animal health', 'public health']",[],"No, this paper should not be included as it primarily focuses on reproductive biotechnologies in animals, rather than human mobility's impact on infectious diseases. Its content and focus do not align closely with the specified topic of human mobility and infectious diseases."
Human mobility and the spatial transmission of influenza in the United States,10.1371/journal.pcbi.1005382,9.0,,,no,not provided,144.0,influenza,United States,"['human mobility', 'influenza spread', 'gravity model']",['gravity model'],"Yes, this paper should be included because it provides a detailed analysis of the relationship between human mobility and the spread of influenza across various seasons, utilizing a specific model, which is essential for understanding patterns in infectious disease propagation."
Impact of Hajj on Global Health Security,10.1007/s10943-018-0648-5,8.0,,,no,not mentioned,8.0,viral respiratory diseases,Mecca,"['Hajj', 'health security', 'infectious diseases']",[],"Yes, this paper should be included because it explores the connection between a significant human mobility event, the Hajj, and its impact on global health security focusing specifically on infectious diseases. While no specific models are discussed, the description of the Hajj’s impact on disease spread is highly relevant."
